# ENA mirror of SRA BioProject PRJNA1131785 (npj Biofilms Microbiomes 2025, s41522-025-00851-2).
# 2bRAD-M / WMS / next-gen-16S / PacBio for MSA-1002 mock (+90/99% human) and HoC saliva/oral-cancer/ECC.
# Download via fastq_ftp (ENA, reachable when NCBI/SRA blocked). Total ~1.78 TB; grab subsets.
run_accession	sample_accession	library_strategy	library_source	instrument_platform	scientific_name	sample_title	read_count	fastq_bytes	fastq_ftp
SRR29721888	SAMN42334567	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	76099	9105412;8154226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/088/SRR29721888/SRR29721888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/088/SRR29721888/SRR29721888_2.fastq.gz
SRR29721889	SAMN42334568	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	42916	5095251;4442546	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/089/SRR29721889/SRR29721889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/089/SRR29721889/SRR29721889_2.fastq.gz
SRR29721892	SAMN42334571	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	59586	6821486;5873427	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/092/SRR29721892/SRR29721892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/092/SRR29721892/SRR29721892_2.fastq.gz
SRR29721893	SAMN42334589	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	31625	3650889;3251608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/093/SRR29721893/SRR29721893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/093/SRR29721893/SRR29721893_2.fastq.gz
SRR29721903	SAMN42334581	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	33971	3915586;3527745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/003/SRR29721903/SRR29721903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/003/SRR29721903/SRR29721903_2.fastq.gz
SRR29726978	SAMN42321967	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	201598785	21419263051;22074135318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29726978/SRR29726978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29726978/SRR29726978_2.fastq.gz
SRR29726981	SAMN42321964	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	174227501	22734543606;18450007532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29726981/SRR29726981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29726981/SRR29726981_2.fastq.gz
SRR29726984	SAMN42321989	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	107562210	13684551584;11818141955	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/084/SRR29726984/SRR29726984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/084/SRR29726984/SRR29726984_2.fastq.gz
SRR29726987	SAMN42321987	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	213498920	22117101197;22499252276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/087/SRR29726987/SRR29726987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/087/SRR29726987/SRR29726987_2.fastq.gz
SRR29726990	SAMN42321984	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	227219481	26103261562;23709261261	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/090/SRR29726990/SRR29726990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/090/SRR29726990/SRR29726990_2.fastq.gz
SRR29726991	SAMN42321983	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	273386757	28895553466;28705019321	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/091/SRR29726991/SRR29726991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/091/SRR29726991/SRR29726991_2.fastq.gz
SRR29726994	SAMN42321980	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	228947767	23503792291;23382102192	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/094/SRR29726994/SRR29726994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/094/SRR29726994/SRR29726994_2.fastq.gz
SRR29726995	SAMN42321979	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	193892089	20755964823;19953884584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/095/SRR29726995/SRR29726995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/095/SRR29726995/SRR29726995_2.fastq.gz
SRR29726998	SAMN42321977	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	216156388	24129442276;22840567579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/098/SRR29726998/SRR29726998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/098/SRR29726998/SRR29726998_2.fastq.gz
SRR29727001	SAMN42321974	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	191989939	21387358733;20935684174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/001/SRR29727001/SRR29727001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/001/SRR29727001/SRR29727001_2.fastq.gz
SRR29727006	SAMN42321969	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	234114097	24732814413;24270763680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/006/SRR29727006/SRR29727006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/006/SRR29727006/SRR29727006_2.fastq.gz
SRR29727008	SAMN42321959	WGS	METAGENOMIC	DNBSEQ	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	334944805	39029083180;36856422609	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/008/SRR29727008/SRR29727008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/008/SRR29727008/SRR29727008_2.fastq.gz
SRR29727656	SAMN42336153	WGS	METAGENOMIC	DNBSEQ	synthetic metagenome	Metagenome or environmental sample from synthetic metagenome	26613459	1938133270;2095191887	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/056/SRR29727656/SRR29727656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/056/SRR29727656/SRR29727656_2.fastq.gz
SRR29727657	SAMN42336152	OTHER	METAGENOMIC	ILLUMINA	synthetic metagenome	Metagenome or environmental sample from synthetic metagenome	10881833	413429023;555769963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/057/SRR29727657/SRR29727657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/057/SRR29727657/SRR29727657_2.fastq.gz
SRR29727659	SAMN42336150	OTHER	METAGENOMIC	ILLUMINA	synthetic metagenome	Metagenome or environmental sample from synthetic metagenome	11998988	509237568;624626004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/059/SRR29727659/SRR29727659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/059/SRR29727659/SRR29727659_2.fastq.gz
SRR29736160	SAMN42336150	RNA-Seq	METAGENOMIC	ILLUMINA	synthetic metagenome	Metagenome or environmental sample from synthetic metagenome	56355	3941663	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/060/SRR29736160/SRR29736160.fastq.gz
SRR29752048	SAMN42321979	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	58041	4828474	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/048/SRR29752048/SRR29752048.fastq.gz
SRR29752055	SAMN42321973	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	73495	7674334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/055/SRR29752055/SRR29752055.fastq.gz
SRR29752057	SAMN42321971	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	66435	5954241	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/057/SRR29752057/SRR29752057.fastq.gz
SRR29752061	SAMN42321959	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	45806	4150971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/061/SRR29752061/SRR29752061.fastq.gz
