sample	mock	class	species	genome	abundance
WMS_MSA1007_0_100ng_3	MSA1007	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	0.000121
WMS_MSA1007_0_100ng_3	MSA1007	other_mock_atcc	Staphylococcus_aureus	Staphylococcus_aureus__ATCC_Staphylococcus_aureus_ATCC_BAA_1556	4.7e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Streptococcus_agalactiae	Streptococcus_agalactiae__GCF_001266635.1	4.5e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_002861945.1	3.2e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Metamycoplasma_hominis	Metamycoplasma_hominis__GCF_016809635.1	3.2e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Prevotella_bivia	Prevotella_bivia__GCF_055453515.1	2.8e-05
WMS_MSA1007_0_100ng_3	MSA1007	other_mock_atcc	Bacillus_pacificus	Bacillus_pacificus__ATCC_Bacillus_pacificus_ATCC_10987	2.7e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Prevotella_bivia	Prevotella_bivia__GCF_977089855.1	2.6e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_003397605.1	2.5e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Metamycoplasma_hominis	Metamycoplasma_hominis__GCF_016809545.1	2.4e-05
WMS_MSA1007_0_100ng_3	MSA1007	same_species_decoy	Gardnerella_vaginalis	Gardnerella_vaginalis__GCF_023277625.1	2.3e-05
