species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep5_d0.5	diff	5	5	0.5	5	3	3	0	2	1.0000	0.6000	0.7500	0.110	25.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep5_d10	diff	5	5	10	5	5	5	0	0	1.0000	1.0000	1.0000	1.540	207.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep5_d1	diff	5	5	1	5	5	5	0	0	1.0000	1.0000	1.0000	0.200	36.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep5_d3	diff	5	5	3	5	5	5	0	0	1.0000	1.0000	1.0000	0.570	74.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep5_d5	diff	5	5	5	5	5	5	0	0	1.0000	1.0000	1.0000	0.800	113.4
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep1_d0.5	same	2	1	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.060	19.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep1_d10	same	2	1	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.620	82.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep1_d1	same	2	1	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.080	22.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep1_d3	same	2	1	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.190	35.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep1_d5	same	2	1	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.320	50.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep2_d0.5	same	2	2	0.5	1	0	0	0	1	0.0000	0.0000	0.0000	0.120	26.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep2_d10	same	2	2	10	1	0	0	0	1	0.0000	0.0000	0.0000	1.730	227.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep2_d1	same	2	2	1	1	0	0	0	1	0.0000	0.0000	0.0000	0.210	40.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep2_d3	same	2	2	3	1	0	0	0	1	0.0000	0.0000	0.0000	0.550	79.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep2_d5	same	2	2	5	1	0	0	0	1	0.0000	0.0000	0.0000	0.890	122.7
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep3_d0.5	same	2	3	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.060	19.7
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep3_d10	same	2	3	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.630	94.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep3_d1	same	2	3	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.100	23.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep3_d3	same	2	3	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.230	38.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep3_d5	same	2	3	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.340	55.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep4_d0.5	same	2	4	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.060	19.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep4_d10	same	2	4	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.700	90.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep4_d1	same	2	4	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.090	22.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep4_d3	same	2	4	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.220	39.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep4_d5	same	2	4	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.320	53.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep5_d0.5	same	2	5	0.5	1	0	0	0	1	0.0000	0.0000	0.0000	0.120	26.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep5_d10	same	2	5	10	1	0	0	0	1	0.0000	0.0000	0.0000	1.730	228.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep5_d1	same	2	5	1	1	0	0	0	1	0.0000	0.0000	0.0000	0.200	37.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep5_d3	same	2	5	3	1	0	0	0	1	0.0000	0.0000	0.0000	0.550	80.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k2_rep5_d5	same	2	5	5	1	0	0	0	1	0.0000	0.0000	0.0000	0.860	123.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep1_d0.5	same	3	1	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.070	20.2
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep1_d10	same	3	1	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.860	119.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep1_d1	same	3	1	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.110	25.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep1_d3	same	3	1	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.280	46.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep1_d5	same	3	1	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.440	67.9
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep2_d0.5	same	3	2	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.080	20.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep2_d10	same	3	2	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.960	129.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep2_d1	same	3	2	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.130	27.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep2_d3	same	3	2	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.320	52.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep2_d5	same	3	2	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.570	75.6
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep3_d0.5	same	3	3	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.080	21.2
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep3_d10	same	3	3	10	1	1	1	0	0	1.0000	1.0000	1.0000	0.930	128.7
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep3_d1	same	3	3	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.120	27.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep3_d3	same	3	3	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.300	49.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep3_d5	same	3	3	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.500	74.2
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k3_rep4_d0.5	same	3	4	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.080	20.9
